Timestamp,Longitude,Latitude,StationCode,GX.CAMPI..HHZ,GX.CAMPI..HHN,GX.CAMPI..HHE
2024-10-13T14:43:30.400224,15.273819832,40.70713985,CAMPI,64940,59641,69260
2024-10-13T14:43:30.410224,15.273819832,40.70713985,CAMPI,64883,59721,69231
2024-10-13T14:43:30.420224,15.273819832,40.70713985,CAMPI,65069,59727,69184
2024-10-13T14:43:30.430224,15.273819832,40.70713985,CAMPI,64754,59725,69316
2024-10-13T14:43:30.440224,15.273819832,40.70713985,CAMPI,64695,59762,69450
2024-10-13T14:43:30.450224,15.273819832,40.70713985,CAMPI,64844,59749,69416
2024-10-13T14:43:30.460224,15.273819832,40.70713985,CAMPI,64636,59755,69431
2024-10-13T14:43:30.470224,15.273819832,40.70713985,CAMPI,64607,59837,69533
2024-10-13T14:43:30.480224,15.273819832,40.70713985,CAMPI,64672,59835,69460
2024-10-13T14:43:30.490224,15.273819832,40.70713985,CAMPI,64530,59785,69331
2024-10-13T14:43:30.500224,15.273819832,40.70713985,CAMPI,64507,59941,69364
2024-10-13T14:43:30.510224,15.273819832,40.70713985,CAMPI,64679,59952,69371
2024-10-13T14:43:30.520224,15.273819832,40.70713985,CAMPI,64654,59881,69360
2024-10-13T14:43:30.530224,15.273819832,40.70713985,CAMPI,64553,59992,69429
2024-10-13T14:43:30.540224,15.273819832,40.70713985,CAMPI,64562,59825,69478
2024-10-13T14:43:30.550224,15.273819832,40.70713985,CAMPI,64489,59735,69510
2024-10-13T14:43:30.560224,15.273819832,40.70713985,CAMPI,64456,59807,69542
2024-10-13T14:43:30.570224,15.273819832,40.70713985,CAMPI,64618,59706,69487
2024-10-13T14:43:30.580224,15.273819832,40.70713985,CAMPI,64732,59755,69335
2024-10-13T14:43:30.590224,15.273819832,40.70713985,CAMPI,64635,59729,69265
2024-10-13T14:43:30.600224,15.273819832,40.70713985,CAMPI,64579,59732,69322
2024-10-13T14:43:30.610224,15.273819832,40.70713985,CAMPI,64712,59909,69276
2024-10-13T14:43:30.620224,15.273819832,40.70713985,CAMPI,64834,59818,69203
2024-10-13T14:43:30.630224,15.273819832,40.70713985,CAMPI,64629,59732,69200
2024-10-13T14:43:30.640224,15.273819832,40.70713985,CAMPI,64620,59863,69196
2024-10-13T14:43:30.650224,15.273819832,40.70713985,CAMPI,64968,59874,69282
2024-10-13T14:43:30.660224,15.273819832,40.70713985,CAMPI,64879,59851,69278
2024-10-13T14:43:30.670224,15.273819832,40.70713985,CAMPI,64679,59881,69260
2024-10-13T14:43:30.680224,15.273819832,40.70713985,CAMPI,64773,59885,69354
2024-10-13T14:43:30.690224,15.273819832,40.70713985,CAMPI,64800,59971,69291
2024-10-13T14:43:30.700224,15.273819832,40.70713985,CAMPI,64767,59915,69186
2024-10-13T14:43:30.710224,15.273819832,40.70713985,CAMPI,64822,59801,69141
2024-10-13T14:43:30.720224,15.273819832,40.70713985,CAMPI,64904,59814,69151
2024-10-13T14:43:30.730224,15.273819832,40.70713985,CAMPI,64927,59770,69270
2024-10-13T14:43:30.740224,15.273819832,40.70713985,CAMPI,64724,59864,69370
2024-10-13T14:43:30.750224,15.273819832,40.70713985,CAMPI,64632,60013,69351
2024-10-13T14:43:30.760224,15.273819832,40.70713985,CAMPI,64740,60047,69346
2024-10-13T14:43:30.770224,15.273819832,40.70713985,CAMPI,64625,60086,69320
2024-10-13T14:43:30.780224,15.273819832,40.70713985,CAMPI,64685,60118,69266
2024-10-13T14:43:30.790224,15.273819832,40.70713985,CAMPI,64823,60071,69423
2024-10-13T14:43:30.800224,15.273819832,40.70713985,CAMPI,64630,59977,69495
