Timestamp,Longitude,Latitude,StationCode,GX.CAMPI..HHZ,GX.CAMPI..HHN,GX.CAMPI..HHE
2024-10-31T11:29:31.070000,15.273819832,40.70713985,CAMPI,1354,1207,-1096
2024-10-31T11:29:31.080000,15.273819832,40.70713985,CAMPI,1254,1405,-1108
2024-10-31T11:29:31.090000,15.273819832,40.70713985,CAMPI,1237,1131,-1244
2024-10-31T11:29:31.100000,15.273819832,40.70713985,CAMPI,1340,974,-1405
2024-10-31T11:29:31.110000,15.273819832,40.70713985,CAMPI,1349,957,-1500
2024-10-31T11:29:31.120000,15.273819832,40.70713985,CAMPI,1301,888,-1517
2024-10-31T11:29:31.130000,15.273819832,40.70713985,CAMPI,1462,948,-1420
2024-10-31T11:29:31.140000,15.273819832,40.70713985,CAMPI,1420,1039,-1217
2024-10-31T11:29:31.150000,15.273819832,40.70713985,CAMPI,1374,1274,-1092
2024-10-31T11:29:31.160000,15.273819832,40.70713985,CAMPI,1543,1398,-1176
2024-10-31T11:29:31.170000,15.273819832,40.70713985,CAMPI,1475,1240,-1225
2024-10-31T11:29:31.180000,15.273819832,40.70713985,CAMPI,1432,1155,-1195
2024-10-31T11:29:31.190000,15.273819832,40.70713985,CAMPI,1485,1139,-1314
2024-10-31T11:29:31.200000,15.273819832,40.70713985,CAMPI,1385,944,-1383
2024-10-31T11:29:31.210000,15.273819832,40.70713985,CAMPI,1293,954,-1267
2024-10-31T11:29:31.220000,15.273819832,40.70713985,CAMPI,1502,1164,-1214
2024-10-31T11:29:31.230000,15.273819832,40.70713985,CAMPI,1654,1040,-1189
2024-10-31T11:29:31.240000,15.273819832,40.70713985,CAMPI,1438,1148,-1079
2024-10-31T11:29:31.250000,15.273819832,40.70713985,CAMPI,1532,1225,-1117
2024-10-31T11:29:31.260000,15.273819832,40.70713985,CAMPI,1565,1018,-1191
2024-10-31T11:29:31.270000,15.273819832,40.70713985,CAMPI,1382,1099,-1113
2024-10-31T11:29:31.280000,15.273819832,40.70713985,CAMPI,1449,1029,-1146
2024-10-31T11:29:31.290000,15.273819832,40.70713985,CAMPI,1485,905,-1215
2024-10-31T11:29:31.300000,15.273819832,40.70713985,CAMPI,1476,1053,-1114
2024-10-31T11:29:31.310000,15.273819832,40.70713985,CAMPI,1353,1153,-1105
2024-10-31T11:29:31.320000,15.273819832,40.70713985,CAMPI,1433,1012,-1155
2024-10-31T11:29:31.330000,15.273819832,40.70713985,CAMPI,1510,1121,-1116
2024-10-31T11:29:31.340000,15.273819832,40.70713985,CAMPI,1400,1242,-1212
2024-10-31T11:29:31.350000,15.273819832,40.70713985,CAMPI,1474,1012,-1188
2024-10-31T11:29:31.360000,15.273819832,40.70713985,CAMPI,1403,1141,-1175
2024-10-31T11:29:31.370000,15.273819832,40.70713985,CAMPI,1428,1167,-1309
2024-10-31T11:29:31.380000,15.273819832,40.70713985,CAMPI,1526,1047,-1183
2024-10-31T11:29:31.390000,15.273819832,40.70713985,CAMPI,1404,1194,-1146
2024-10-31T11:29:31.400000,15.273819832,40.70713985,CAMPI,1378,1210,-1141
2024-10-31T11:29:31.410000,15.273819832,40.70713985,CAMPI,1451,1161,-1044
2024-10-31T11:29:31.420000,15.273819832,40.70713985,CAMPI,1384,1100,-1123
2024-10-31T11:29:31.430000,15.273819832,40.70713985,CAMPI,1387,1092,-1187
